fifa_version,season_label,rank_vfm,sofifa_id,short_name,overall,position_group,dimension,value_0_100
22,FIFA 22,1,177299,A. Gabbarini,72,GK,Performance,61.8266
22,FIFA 22,1,177299,A. Gabbarini,72,GK,Potential,57.4541
22,FIFA 22,1,177299,A. Gabbarini,72,GK,Position skill,88.085
22,FIFA 22,1,177299,A. Gabbarini,72,GK,Age/resale,2.561
22,FIFA 22,1,177299,A. Gabbarini,72,GK,Cost efficiency,92.7307
22,FIFA 22,1,177299,A. Gabbarini,72,GK,Wage efficiency,94.0477
22,FIFA 22,2,182959,A. Hruška,71,GK,Performance,54.9555
22,FIFA 22,2,182959,A. Hruška,71,GK,Potential,50.95
22,FIFA 22,2,182959,A. Hruška,71,GK,Position skill,84.1289
22,FIFA 22,2,182959,A. Hruška,71,GK,Age/resale,2.561
22,FIFA 22,2,182959,A. Hruška,71,GK,Cost efficiency,94.8988
22,FIFA 22,2,182959,A. Hruška,71,GK,Wage efficiency,94.0477
22,FIFA 22,3,182270,W. Sandilands,71,GK,Performance,50.8875
22,FIFA 22,3,182270,W. Sandilands,71,GK,Potential,50.95
22,FIFA 22,3,182270,W. Sandilands,71,GK,Position skill,89.1963
22,FIFA 22,3,182270,W. Sandilands,71,GK,Age/resale,0.8641
22,FIFA 22,3,182270,W. Sandilands,71,GK,Cost efficiency,94.8988
22,FIFA 22,3,182270,W. Sandilands,71,GK,Wage efficiency,94.0477
22,FIFA 22,4,241769,D. Akpeyi,74,GK,Performance,73.9602
22,FIFA 22,4,241769,D. Akpeyi,74,GK,Potential,69.671
22,FIFA 22,4,241769,D. Akpeyi,74,GK,Position skill,93.8239
22,FIFA 22,4,241769,D. Akpeyi,74,GK,Age/resale,2.561
22,FIFA 22,4,241769,D. Akpeyi,74,GK,Cost efficiency,79.8084
22,FIFA 22,4,241769,D. Akpeyi,74,GK,Wage efficiency,94.0477
22,FIFA 22,5,223843,D. Frascarelli,70,GK,Performance,45.6665
22,FIFA 22,5,223843,D. Frascarelli,70,GK,Potential,44.4537
22,FIFA 22,5,223843,D. Frascarelli,70,GK,Position skill,81.8802
22,FIFA 22,5,223843,D. Frascarelli,70,GK,Age/resale,1.5096
22,FIFA 22,5,223843,D. Frascarelli,70,GK,Cost efficiency,96.2313
22,FIFA 22,5,223843,D. Frascarelli,70,GK,Wage efficiency,94.0477
22,FIFA 22,7,165247,I. Khune,71,GK,Performance,62.9353
22,FIFA 22,7,165247,I. Khune,71,GK,Potential,50.95
22,FIFA 22,7,165247,I. Khune,71,GK,Position skill,95.3048
22,FIFA 22,7,165247,I. Khune,71,GK,Age/resale,4.1539
22,FIFA 22,7,165247,I. Khune,71,GK,Cost efficiency,88.4936
22,FIFA 22,7,165247,I. Khune,71,GK,Wage efficiency,94.0477
22,FIFA 22,12,142902,A. Pyatov,75,GK,Performance,75.5817
22,FIFA 22,12,142902,A. Pyatov,75,GK,Potential,74.8477
22,FIFA 22,12,142902,A. Pyatov,75,GK,Position skill,96.7623
22,FIFA 22,12,142902,A. Pyatov,75,GK,Age/resale,0.8641
22,FIFA 22,12,142902,A. Pyatov,75,GK,Cost efficiency,70.811
22,FIFA 22,12,142902,A. Pyatov,75,GK,Wage efficiency,94.0477
22,FIFA 22,13,198355,S. Clark,72,GK,Performance,61.8266
22,FIFA 22,13,198355,S. Clark,72,GK,Potential,57.4541
22,FIFA 22,13,198355,S. Clark,72,GK,Position skill,88.085
22,FIFA 22,13,198355,S. Clark,72,GK,Age/resale,2.561
22,FIFA 22,13,198355,S. Clark,72,GK,Cost efficiency,84.5635
22,FIFA 22,13,198355,S. Clark,72,GK,Wage efficiency,48.5373
