rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment
1,16,FIFA 16,male,175253,W. Ayoví,Walter Orlando Ayoví Corozo,35,LB,DEF,68,68,66.695,130000.0,2000.0,104000.0,234000.0,0.234,100.0,100.0,100.0,0.9041689213904581,4.941060382289045,Dorados de Sinaloa,Mexican Liga MX,Ecuador,https://sofifa.com/player/175253/walter-ayovi/160002,mid_market
2,16,FIFA 16,male,134621,De Coz,David Gutiérrez de Coz,35,RB,DEF,66,66,65.1275,90000.0,2000.0,104000.0,194000.0,0.194,99.99350227420403,99.99350227420403,99.98700454840805,0.7832757502027164,4.215782205861686,CD Lugo,Spanish Segunda División,Spain,https://sofifa.com/player/134621/david-gutierrez-de-coz/160002,mid_market
3,16,FIFA 16,male,146695,L. Franco,Leonardo Neoren Franco,38,GK,GK,69,69,66.68,170000.0,2000.0,104000.0,274000.0,0.274,99.98700454840805,99.98050682261209,99.99350227420403,0.7734950805740826,4.217074491634129,SD Huesca,Spanish Segunda División,Argentina,https://sofifa.com/player/146695/leo-franco/160002,mid_market
4,16,FIFA 16,male,169780,J. Yacuzzi,Javier Orlando Yacuzzi,35,LB,DEF,66,66,65.045,90000.0,2000.0,104000.0,194000.0,0.194,99.98050682261209,99.98700454840805,99.98050682261209,0.7689062640437118,4.13328220586169,Defensa y Justicia,Argentina Primera División,Argentina,https://sofifa.com/player/169780/javier-yacuzzi/160002,mid_market
5,16,FIFA 16,male,221302,N. Tapia,Nelino José Tapia Gil,24,LB,DEF,69,74,73.14750000000001,1100000.0,2000.0,104000.0,1204000.0,1.204,99.97400909681612,99.88304093567251,99.97400909681612,0.6987210299823391,4.03406230529761,Uniautónoma FC,Colombian Liga Postobón,Colombia,https://sofifa.com/player/221302/nelino-tapia/160002,mid_market
6,16,FIFA 16,male,225024,M. Holgate,Mason Holgate,18,RB,DEF,61,80,69.08,400000.0,2000.0,104000.0,504000.0,0.504,99.96751137102015,99.9545159194282,99.9545159194282,0.6969454893312693,3.878978591785568,Everton,English Premier League,England,https://sofifa.com/player/225024/mason-holgate/160002,mid_market
7,16,FIFA 16,male,221841,A. Armstrong,Adam Armstrong,18,CF,ATT,65,84,72.725,1000000.0,2000.0,104000.0,1104000.0,1.104,99.96101364522417,99.90253411306043,99.96751137102015,0.6954971958465342,4.0011263531051355,Coventry City,English League One,England,https://sofifa.com/player/221841/adam-armstrong/160002,mid_market
8,16,FIFA 16,male,23312,J. De Guzmán,Julián de Guzmán,34,CDM,MID,68,68,66.9675,270000.0,1000.0,52000.0,322000.0,0.322,99.9545159194282,99.96101364522417,99.94801819363222,0.6925745125331362,3.7793404144483844,,,Canada,https://sofifa.com/player/23312/julian-de-guzman/160002,mid_market
9,16,FIFA 16,male,227127,Álex Remiro,Alejandro Remiro Gargallo,20,GK,GK,68,78,73.46000000000001,1200000.0,2000.0,104000.0,1304000.0,1.304,99.94801819363222,99.85055230669265,99.96101364522417,0.6884030308353077,3.9880983485068384,Athletic Club de Bilbao B,Spanish Segunda División,Spain,https://sofifa.com/player/227127/alejandro-remiro-gargallo/160002,mid_market
10,16,FIFA 16,male,45717,J. Standfest,Joachim Standfest,35,RB,DEF,65,65,64.22749999999999,80000.0,2000.0,104000.0,184000.0,0.184,99.94152046783626,99.97400909681612,99.88304093567251,0.6694644702114929,3.5535485139544036,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,Austria,https://sofifa.com/player/45717/joachim-standfest/160002,low_perf_low_cost__budget_depth
