rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_position_group_vfm
265,22,FIFA 22,male,223553,Serginho,Sérgio Henrique Francisco,36,LW,ATT,70,70,67.8175,525000.0,600.0,31200.0,556200.0,0.5562,98.62578730935402,98.60496590495028,98.50085888293164,0.5217159681621947,2.707913062059802,Club Deportivo Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,Brazil,https://sofifa.com/player/223553/sergio-henrique-francisco/220002,mid_market,1
323,22,FIFA 22,male,237055,O. Zubkov,Oleksandr Zubkov,24,RW,ATT,71,74,74.6275,2600000.0,700.0,36400.0,2636400.0,2.6364,98.32387694549998,96.4759773046692,98.52688563843633,0.4879981355974101,2.718736457460352,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,Ukraine,https://sofifa.com/player/237055/oleksandr-zubkov/220002,high_perf_high_cost__premium_star,2
351,22,FIFA 22,male,254482,R. Jones,Ricky-Jade Jones,18,ST,ATT,60,80,68.7525,675000.0,1000.0,52000.0,727000.0,0.727,98.17812711467388,98.1000468481599,98.05319868825153,0.4719658470807056,2.472759112004041,Peterborough United,English League Championship,England,https://sofifa.com/player/254482/ricky-jade-jones/220002,mid_market,3
356,22,FIFA 22,male,236696,A. Chatzigiovanis,Anastasios Chatzigiovanis,24,RW,ATT,71,77,75.16,3000000.0,600.0,31200.0,3031200.0,3.0312,98.15210035916922,95.7212013950341,98.40716256311488,0.4704720192908289,2.641492898349597,Panathinaikos FC,Greek Super League,Greece,https://sofifa.com/player/236696/anastasios-chatzigiovanis/220002,high_perf_high_cost__premium_star,4
391,22,FIFA 22,male,160217,R. Verenas,Renato Verenas,37,ST,ATT,70,70,67.6125,550000.0,500.0,26000.0,576000.0,0.576,97.96991307063662,98.19374316797668,97.79293113320492,0.4545619202882446,2.350068131940916,Club River Plate Asunción,Paraguayan Primera División,Chile,https://sofifa.com/player/160217/renato-verenas/220002,mid_market,5
401,22,FIFA 22,male,260492,Eom Ji Sung,Ji Sung Eom,19,RW,ATT,60,79,68.2025,625000.0,650.0,33800.0,658800.0,0.6588,97.9178595596273,97.99593982614128,97.81375253760866,0.4520564448052116,2.3531862637000245,GwangJu FC,Korean K League 1,Korea Republic,https://sofifa.com/player/260492/ji-sung-eom/220002,mid_market,6
416,22,FIFA 22,male,243270,Heriberto Tavares,Heriberto Moreno Borges Tavares,24,RW,ATT,70,76,74.7025,2500000.0,6000.0,312000.0,2812000.0,2.812,97.83977929311332,95.30997865806049,98.14168965696736,0.4481816230490498,2.511981675535651,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/243270/heriberto-borges-tavares/220002,high_perf_high_cost__premium_star,7
430,22,FIFA 22,male,251532,M. Elia,Meschack Elia Lina,23,ST,ATT,71,77,75.73750000000001,3000000.0,11000.0,572000.0,3572000.0,3.572,97.76690437770029,94.2168549268648,98.09484149705898,0.4407751809603797,2.5016588627417637,BSC Young Boys,Swiss Super League,Congo DR,https://sofifa.com/player/251532/meschack-elia/220002,high_perf_high_cost__premium_star,8
438,22,FIFA 22,male,213418,C. Akpom,Chuba Akpom,25,ST,ATT,71,75,74.38,2600000.0,950.0,49400.0,2649400.0,2.6494,97.72526156889282,95.2110769871428,97.99593982614128,0.4380089931691278,2.449743369173376,PAOK,Greek Super League,England,https://sofifa.com/player/213418/chuba-akpom/220002,high_perf_high_cost__premium_star,9
443,22,FIFA 22,male,176542,C. Valencia,Carmelo Enrique Valencia Chaverra,36,ST,ATT,69,69,67.1125,475000.0,1000.0,52000.0,527000.0,0.527,97.69923481338816,98.08963614595804,97.3608869918276,0.4359256943283289,2.2385504042446343,Junior FC,Colombian Liga Postobón,Colombia,https://sofifa.com/player/176542/carmelo-valencia/220002,mid_market,10
458,22,FIFA 22,male,214567,J. Reinoso,Jair Alexander Reinoso Moreno,36,ST,ATT,69,69,66.865,475000.0,500.0,26000.0,501000.0,0.501,97.6211545468742,98.12086825256362,97.25677996980896,0.432187398711877,2.2121243191211875,Club The Strongest,Liga de Fútbol Profesional Boliviano,Colombia,https://sofifa.com/player/214567/jair-reinoso/220002,mid_market,11
468,22,FIFA 22,male,190939,S. Chhetri,Sunil Chhetri,36,ST,ATT,68,68,66.385,400000.0,1000.0,52000.0,452000.0,0.452,97.56910103586488,98.2145645723804,97.14226224558846,0.4289376022163137,2.181853326954041,Bengaluru FC,Indian Super League,India,https://sofifa.com/player/190939/sunil-chhetri/220002,mid_market,12
470,22,FIFA 22,male,251852,K. Adeyemi,Karim-David Adeyemi,19,ST,ATT,71,85,77.2425,4500000.0,11000.0,572000.0,5072000.0,5.072,97.558690333663,91.74951850502316,98.0636093904534,0.4277191053602445,2.474657562623648,FC Red Bull Salzburg,Austrian Football Bundesliga,Germany,https://sofifa.com/player/251852/karim-adeyemi/220002,high_perf_high_cost__premium_star,13
480,22,FIFA 22,male,230601,Cryzan,Cryzan da Cruz Queiroz Barcelos,24,ST,ATT,70,75,74.2425,2400000.0,4000.0,208000.0,2608000.0,2.608,97.50663682265368,94.86752381448127,97.86580604861796,0.425635736510601,2.3810616180865054,Santa Clara,Portuguese Liga ZON SAGRES,Brazil,https://sofifa.com/player/230601/cryzan-queiroz-barcelos/220002,high_perf_high_cost__premium_star,14
482,22,FIFA 22,male,231344,M. Koné,Moussa Koné,24,ST,ATT,72,76,75.82249999999999,3400000.0,6000.0,312000.0,3712000.0,3.712,97.49622612045182,93.30591848420175,97.92306491072824,0.4245051387600758,2.4186713685356835,Nîmes Olympique,French Ligue 2,Senegal,https://sofifa.com/player/231344/moussa-kone/220002,high_perf_high_cost__premium_star,15
507,22,FIFA 22,male,232148,D. Sallói,Dániel Sallói,24,LW,ATT,71,73,74.37,2400000.0,6000.0,312000.0,2712000.0,2.712,97.36609234292854,94.30534589558066,97.73567227109469,0.4166981127220314,2.337700847160889,Sporting Kansas City,USA Major League Soccer,Hungary,https://sofifa.com/player/232148/daniel-salloi/220002,high_perf_high_cost__premium_star,16
512,22,FIFA 22,male,218744,J. Byrne,Jack Byrne,25,RW,ATT,72,75,75.0375,3100000.0,1000.0,52000.0,3152000.0,3.152,97.34006558742388,93.6234449013586,97.78252043100308,0.4151999537303837,2.34823757607802,APOEL Nicosia FC,Cypriot First Division,Republic of Ireland,https://sofifa.com/player/218744/jack-byrne/220002,high_perf_high_cost__premium_star,17
525,22,FIFA 22,male,260942,D. Fofana,David Datro Fofana,18,ST,ATT,63,83,71.16,1300000.0,700.0,36400.0,1336400.0,1.3364,97.27239602311175,96.31981677164124,97.28801207641456,0.4111317863692808,2.220051331690726,Molde FK,Norwegian Eliteserien,Côte d'Ivoire,https://sofifa.com/player/260942/david-datro-fofana/220002,mid_market,18
538,22,FIFA 22,male,260232,I. Šaranić,Ivan Šaranić,18,RW,ATT,63,82,70.7525,1200000.0,500.0,26000.0,1226000.0,1.226,97.20472645879966,96.4447451980636,97.16828900109311,0.407410213854598,2.1893039115861512,Dinamo Zagreb,Croatian Prva HNL,Croatia,https://sofifa.com/player/260232/ivan-saranic/220002,mid_market,19
541,22,FIFA 22,male,49486,B. Ogbeche,Bartholomew Owogbalor Ogbeche,36,ST,ATT,68,68,66.05499999999999,400000.0,600.0,31200.0,431200.0,0.4312,97.18911040549683,98.03758263494872,96.6061110821925,0.4069993632981733,2.05770248146937,Hyderabad FC,Indian Super League,Nigeria,https://sofifa.com/player/49486/bartholomew-ogbeche/220002,mid_market,20
86,22,FIFA 22,male,186402,S. Candia,Salustiano Antonio Candia Galeano,37,CB,DEF,70,70,66.91499999999999,275000.0,500.0,26000.0,301000.0,0.301,99.5575451564208,99.54713445421892,99.5731612097236,0.865943910889968,4.488379784798077,Guaireña FC,Paraguayan Primera División,Paraguay,https://sofifa.com/player/186402/salustiano-candia/220002,mid_market,1
105,22,FIFA 22,male,150106,A. Papadopoulos,Avraam Papadopoulos,36,CB,DEF,68,68,65.6125,220000.0,500.0,26000.0,246000.0,0.246,99.45864348550307,99.48987559210867,99.46905418770496,0.7925481448710245,4.067556300197431,Olympiacos CFP,Greek Super League,Greece,https://sofifa.com/player/150106/avraam-papadopoulos/220002,mid_market,2
110,22,FIFA 22,male,214603,F. Díaz,Farid Alfonso Díaz Rhenals,37,LB,DEF,69,69,66.8025,300000.0,500.0,26000.0,326000.0,0.326,99.43261672999844,99.41700067669564,99.4274113788975,0.778609900990898,4.027248084646914,Club Nacional,Paraguayan Primera División,Colombia,https://sofifa.com/player/214603/farid-diaz/220002,mid_market,3
113,22,FIFA 22,male,214515,M. Piedrahita,Marlon Javier Piedrahita Londoño,36,RB,DEF,72,72,69.67,525000.0,2000.0,104000.0,629000.0,0.629,99.41700067669564,99.1983759304565,99.41700067669564,0.7627230691328619,4.022946350618426,Junior FC,Colombian Liga Postobón,Colombia,https://sofifa.com/player/214515/marlon-piedrahita/220002,mid_market,4
115,22,FIFA 22,male,214196,D. Bocanegra,Daniel Eduardo Bocanegra Ortíz,34,CB,DEF,72,72,70.7025,750000.0,850.0,44200.0,794200.0,0.7942,99.40658997449376,99.1463224194472,99.43782208109936,0.7598735482125166,4.036453856794523,Club Libertad,Paraguayan Primera División,Colombia,https://sofifa.com/player/214196/daniel-bocanegra/220002,mid_market,5
126,22,FIFA 22,male,180740,N. Topor-Stanley,Nikolai Topor-Stanley,36,CB,DEF,64,64,62.3125,100000.0,550.0,28600.0,128600.0,0.1286,99.34933111238354,99.51590234761336,99.26084014366768,0.721067029539995,3.6017302649162204,Western United FC,Australian Hyundai A-League,Australia,https://sofifa.com/player/180740/nikolai-topor-stanley/220002,low_perf_low_cost__budget_depth,6
127,22,FIFA 22,male,172685,José Crespo,José Ángel Crespo Rincón,34,CB,DEF,72,72,70.52250000000001,750000.0,950.0,49400.0,799400.0,0.7994,99.3441257612826,99.09426890843788,99.34933111238354,0.721061034114741,3.827937732139432,PAOK,Greek Super League,Spain,https://sofifa.com/player/172685/jose-angel-crespo-rincon/220002,mid_market,7
132,22,FIFA 22,male,163665,D. Congré,Daniel Congré,36,CB,DEF,73,73,69.895,550000.0,3000.0,156000.0,706000.0,0.706,99.31809900577794,99.10988496174068,99.3285097079798,0.7082267711233778,3.743335501379661,Dijon FCO,French Ligue 2,France,https://sofifa.com/player/163665/daniel-congre/220002,mid_market,8
