rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_practical_vfm
301,22,FIFA 22,male,243585,G. Bazunu,Gavin Okeroghene Bazunu,19,GK,GK,64,83,71.69,1300000.0,1000.0,52000.0,1352000.0,1.352,98.43839466972048,97.6888241111863,98.48524282962886,0.4997342686865168,2.699340498208798,Portsmouth,English League One,Republic of Ireland,https://sofifa.com/player/243585/gavin-bazunu/220002,mid_market,1
320,22,FIFA 22,male,242879,M. Vandevoordt,Maarten Vandevoordt,19,GK,GK,71,87,77.0,4300000.0,3000.0,156000.0,4456000.0,4.456,98.33949299880275,95.23710374264743,98.64660871375774,0.4906345918278094,2.7979414145750923,KRC Genk,Belgian Jupiler Pro League,Belgium,https://sofifa.com/player/242879/maarten-vandevoordt/220002,high_perf_high_cost__premium_star,2
351,22,FIFA 22,male,254482,R. Jones,Ricky-Jade Jones,18,ST,ATT,60,80,68.7525,675000.0,1000.0,52000.0,727000.0,0.727,98.17812711467388,98.1000468481599,98.05319868825153,0.4719658470807056,2.472759112004041,Peterborough United,English League Championship,England,https://sofifa.com/player/254482/ricky-jade-jones/220002,mid_market,3
422,22,FIFA 22,male,259036,V. Korniienko,Viktor Korniienko,22,LB,DEF,71,82,76.2975,4000000.0,500.0,26000.0,4026000.0,4.026,97.80854718650774,93.86289105200146,98.18333246577482,0.4449248841215917,2.53885402219548,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,https://sofifa.com/player/259036/viktor-korniienko/220002,high_perf_high_cost__premium_star,4
436,22,FIFA 22,male,253012,L. Morales,Lautaro Alberto Morales,21,GK,GK,72,85,77.51,5000000.0,6000.0,312000.0,5312000.0,5.312,97.73567227109469,92.13991983759304,98.19374316797668,0.4387992697926233,2.540139913203447,Club Atlético Lanús,Argentina Primera División,Argentina,https://sofifa.com/player/253012/lautaro-morales/220002,high_perf_high_cost__premium_star,5
462,22,FIFA 22,male,228279,J. Drommel,Joël Drommel,24,GK,GK,75,81,79.03,7000000.0,10000.0,520000.0,7520000.0,7.52,97.60033314247046,89.36026234969549,98.19894851907762,0.4310337504022035,2.541298790258537,PSV,Holland Eredivisie,Netherlands,https://sofifa.com/player/228279/joel-drommel/220002,high_perf_high_cost__premium_star,6
465,22,FIFA 22,male,259314,Pere Joan,Pere Joan García Bauzà,19,GK,GK,62,81,69.74000000000001,900000.0,1000.0,52000.0,952000.0,0.952,97.58471708916764,97.35047628962572,97.558690333663,0.4304170851546941,2.28206469337664,RCD Mallorca,Spain Primera Division,Spain,https://sofifa.com/player/259314/pere-joan-garcia-bauza/220002,mid_market,7
470,22,FIFA 22,male,251852,K. Adeyemi,Karim-David Adeyemi,19,ST,ATT,71,85,77.2425,4500000.0,11000.0,572000.0,5072000.0,5.072,97.558690333663,91.74951850502316,98.0636093904534,0.4277191053602445,2.474657562623648,FC Red Bull Salzburg,Austrian Football Bundesliga,Germany,https://sofifa.com/player/251852/karim-adeyemi/220002,high_perf_high_cost__premium_star,8
478,22,FIFA 22,male,264116,Alejandro Iturbe,Alejandro Iturbe Encabo,17,GK,GK,62,81,69.47,875000.0,500.0,26000.0,901000.0,0.901,97.51704752485554,97.37129769402944,97.42335120503878,0.4262272043978315,2.252650205286102,Atlético de Madrid,Spain Primera Division,Spain,https://sofifa.com/player/264116/alejandro-iturbe-encabo/220002,mid_market,9
492,22,FIFA 22,male,258498,B. Verbruggen,Bart Verbruggen,18,GK,GK,65,83,72.1,1600000.0,500.0,26000.0,1626000.0,1.626,97.4441726094425,96.10119202540211,97.61594919577324,0.422007877415878,2.302995149823161,RSC Anderlecht,Belgian Jupiler Pro League,Netherlands,https://sofifa.com/player/258498/bart-verbruggen/220002,mid_market,10
