rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_young_vfm
129,22,FIFA 22,male,234999,Jean,Jean Paulo Fernandes Filho,25,GK,GK,71,75,74.68,2000000.0,500.0,26000.0,2026000.0,2.026,99.33371505908076,98.78715319348292,99.3753578678882,0.7171434647563093,3.921957835754455,Club Cerro Porteño,Paraguayan Primera División,Brazil,https://sofifa.com/player/234999/jean-paulo-fernandes-filho/220002,mid_market,1
154,22,FIFA 22,female,261787,J. Odeurs,Justien Odeurs,24,GK,GK,72,77,75.87,2800000.0,650.0,33800.0,2833800.0,2.8338,99.20358128155743,98.38634115871116,99.29727760137422,0.6582232818061154,3.645737525424309,,,Belgium,https://sofifa.com/player/261787/justien-odeurs/220002,high_perf_high_cost__premium_star,2
165,22,FIFA 22,male,250842,J. Graterol,Joel David Graterol Nader,24,GK,GK,72,78,76.21000000000001,3000000.0,2000.0,104000.0,3104000.0,3.104,99.1463224194472,98.2301806256832,99.24522409036489,0.6453879483655162,3.5877905997388098,América de Cali,Colombian Liga Postobón,Venezuela,https://sofifa.com/player/250842/joel-graterol/220002,high_perf_high_cost__premium_star,3
190,22,FIFA 22,male,246398,S. Rojas,Santiago Gerardo Rojas López,25,GK,GK,70,76,74.03999999999999,2000000.0,500.0,26000.0,2026000.0,2.026,99.01618864192388,98.24059132788506,99.07865285513508,0.5984758220658176,3.28195783575444,Club Nacional,Paraguayan Primera División,Paraguay,https://sofifa.com/player/246398/santiago-rojas/220002,mid_market,4
192,22,FIFA 22,male,220048,S. Scuffet,Simone Scuffet,25,GK,GK,72,75,74.85,2400000.0,650.0,33800.0,2433800.0,2.4338,99.00577793972204,97.9855291239394,99.083858206236,0.5958728105504949,3.290626861662574,APOEL Nicosia FC,Cypriot First Division,Italy,https://sofifa.com/player/220048/simone-scuffet/220002,mid_market,5
193,22,FIFA 22,male,221909,J. Staněk,Jindřich Staněk,25,GK,GK,73,79,76.88999999999999,3800000.0,650.0,33800.0,3833800.0,3.8338,99.00057258862113,97.54827963146114,99.12029566394254,0.5955402490534903,3.345097982369154,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/221909/jindrich-stanek/220002,high_perf_high_cost__premium_star,6
219,22,FIFA 22,male,232350,J. Posavec,Josip Posavec,25,GK,GK,70,76,73.86000000000001,2000000.0,500.0,26000.0,2026000.0,2.026,98.86523345999689,97.88142210192078,98.9849565353183,0.5651005475591215,3.1019578357544617,Hajduk Split,Croatian Prva HNL,Croatia,https://sofifa.com/player/232350/josip-posavec/220002,mid_market,7
236,22,FIFA 22,male,222411,J. Prior,Jérôme Prior,25,GK,GK,72,75,75.0,2400000.0,5000.0,260000.0,2660000.0,2.66,98.77674249128104,97.46499401384622,98.9485190776118,0.5496415670722271,3.0522961458994478,FC Cartagena,Spanish Segunda División,France,https://sofifa.com/player/222411/jerome-prior/220002,high_perf_high_cost__premium_star,8
237,22,FIFA 22,male,231237,P. Jensen,Peter Vindahl Jensen,23,GK,GK,70,75,73.94999999999999,1900000.0,4000.0,208000.0,2108000.0,2.108,98.77153714018011,97.69923481338816,98.93810837540993,0.5487319344868484,3.0185911596818755,AZ Alkmaar,Holland Eredivisie,Denmark,https://sofifa.com/player/231237/peter-vindahl-jensen/220002,mid_market,9
242,22,FIFA 22,male,213729,S. Rossbach,Sondre Løvseth Rossbach,25,GK,GK,70,76,73.91999999999999,2000000.0,2000.0,104000.0,2104000.0,2.104,98.74551038467546,97.6575920045807,98.9172869710062,0.5447518205467614,2.9968903751248632,Odds BK,Norwegian Eliteserien,Norway,https://sofifa.com/player/213729/sondre-rossbach/220002,mid_market,10
255,22,FIFA 22,male,250753,A. Trubin,Anatoliy Trubin,19,GK,GK,72,78,75.34,2900000.0,500.0,26000.0,2926000.0,2.926,98.67784082036334,97.11103013898288,98.89126021550152,0.5332760573715882,2.9758348721519354,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,https://sofifa.com/player/250753/anatoliy-trubin/220002,high_perf_high_cost__premium_star,11
259,22,FIFA 22,male,222464,Sivera,Antonio Sivera Salvá,24,GK,GK,72,78,76.15,3000000.0,10000.0,520000.0,3520000.0,3.52,98.6570194159596,96.7362448597158,98.89646556660246,0.5294780614785594,2.978236687850781,Deportivo Alavés,Spain Primera Division,Spain,https://sofifa.com/player/222464/antonio-sivera-salva/220002,high_perf_high_cost__premium_star,12
269,22,FIFA 22,male,239342,H. Koffi,Hervé Kouakou Koffi,24,GK,GK,73,78,76.8,3700000.0,8000.0,416000.0,4116000.0,4.116,98.60496590495028,96.17406694081517,98.84441205559314,0.5196778299920202,2.944750162264384,Royal Charleroi S.C.,Belgian Jupiler Pro League,Burkina Faso,https://sofifa.com/player/239342/herve-koffi/220002,high_perf_high_cost__premium_star,13
273,22,FIFA 22,male,251292,F. Kastenmeier,Florian Kastenmeier,24,GK,GK,71,75,74.75,2100000.0,10000.0,520000.0,2620000.0,2.62,98.58414450054656,97.04336057467076,98.74030503357451,0.5159107481969846,2.86850250395905,Fortuna Düsseldorf,German 2. Bundesliga,Germany,https://sofifa.com/player/251292/florian-kastenmeier/220002,high_perf_high_cost__premium_star,14
277,22,FIFA 22,male,215213,A. Werner,Axel Wilfredo Werner,25,GK,GK,70,76,74.37,2000000.0,8000.0,416000.0,2416000.0,2.416,98.56332309614282,97.09541408568008,98.69345687366614,0.5129878520748608,2.8427016227194173,Elche CF,Spain Primera Division,Argentina,https://sofifa.com/player/215213/axel-werner/220002,mid_market,15
281,22,FIFA 22,male,244308,G. Fuentes,Gabriel Rafael Fuentes Gómez,24,LB,DEF,71,76,74.865,2600000.0,2000.0,104000.0,2704000.0,2.704,98.5425016917391,96.90802144604652,98.703867575868,0.5109414198072485,2.8456093826299167,Junior FC,Colombian Liga Postobón,Colombia,https://sofifa.com/player/244308/gabriel-fuentes/220002,high_perf_high_cost__premium_star,16
287,22,FIFA 22,male,219793,T. Didillon,Thomas Didillon,25,GK,GK,72,76,75.25,2600000.0,7000.0,364000.0,2964000.0,2.964,98.51126958513352,96.56967362448596,98.67784082036334,0.5058379456599307,2.829452977512318,KSV Cercle Brugge,Belgian Jupiler Pro League,France,https://sofifa.com/player/219793/thomas-didillon/220002,high_perf_high_cost__premium_star,17
288,22,FIFA 22,male,224442,B. Kamara,Bingourou Kamara,24,GK,GK,71,76,74.94,2300000.0,9000.0,468000.0,2768000.0,2.768,98.5060642340326,96.75706626411952,98.6726354692624,0.5053580021435506,2.8183933509678667,RC Strasbourg Alsace,French Ligue 1,Senegal,https://sofifa.com/player/224442/bingourou-kamara/220002,high_perf_high_cost__premium_star,18
304,22,FIFA 22,male,242969,N. Baumann,Noam Baumann,25,GK,GK,73,79,76.74000000000001,3800000.0,7000.0,364000.0,4164000.0,4.164,98.42277861641767,95.66394253292384,98.6882515225652,0.4988929167431475,2.8340883004024846,FC Lugano,Swiss Super League,Switzerland,https://sofifa.com/player/242969/noam-baumann/220002,high_perf_high_cost__premium_star,19
305,22,FIFA 22,male,243538,K. Letica,Karlo Letica,24,GK,GK,70,75,74.1,1900000.0,8000.0,416000.0,2316000.0,2.316,98.41757326531676,96.95486960595493,98.59976055384936,0.4981436301119979,2.7574094200535058,Club Brugge KV,Belgian Jupiler Pro League,Croatia,https://sofifa.com/player/243538/karlo-letica/220002,mid_market,20
312,22,FIFA 22,male,227186,A. Batalla,Augusto Martín Batalla Barga,25,GK,GK,71,76,74.53999999999999,2200000.0,7000.0,364000.0,2564000.0,2.564,98.38113580761022,96.68419134870648,98.58934985164748,0.4949737861956313,2.752909731991138,San Lorenzo de Almagro,Argentina Primera División,Argentina,https://sofifa.com/player/227186/augusto-batalla/220002,high_perf_high_cost__premium_star,21
315,22,FIFA 22,male,237525,A. Bodart,Arnaud Bodart,23,GK,GK,73,79,76.87,3900000.0,8000.0,416000.0,4316000.0,4.316,98.36551975430744,95.34121076466607,98.6570194159596,0.4931264301740804,2.8074277541104493,Standard de Liège,Belgian Jupiler Pro League,Belgium,https://sofifa.com/player/237525/arnaud-bodart/220002,high_perf_high_cost__premium_star,22
