rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment
1,16,FIFA 16,male,175253,W. Ayoví,Walter Orlando Ayoví Corozo,35,LB,DEF,68,68,66.695,130000.0,2000.0,104000.0,234000.0,0.234,100.0,100.0,100.0,0.9041689213904581,4.941060382289045,Dorados de Sinaloa,Mexican Liga MX,Ecuador,https://sofifa.com/player/175253/walter-ayovi/160002,mid_market
1,20,FIFA 20,male,5479,Casillas,Iker Casillas Fernández,38,GK,GK,83,83,78.38000000000001,2600000.0,11000.0,572000.0,3172000.0,3.172,100.0,97.91038227389897,100.0,0.9005401789957519,5.055881466296171,FC Porto,Portuguese Liga ZON SAGRES,Spain,https://sofifa.com/player/5479/iker-casillas-fernandez/200002,high_perf_high_cost__premium_star
1,21,FIFA 21,male,253632,M. Sotillo,Michael Anthony Sotillo Cañari,35,GK,GK,70,70,68.6,180000.0,500.0,26000.0,206000.0,0.206,100.0,100.0,100.0,1.4870529800208863,7.89550656074141,Deportivo Binacional,Peruvian Primera División,Peru,https://sofifa.com/player/253632/michael-sotillo/210002,mid_market
1,17,FIFA 17,male,13743,S. Gerrard,Steven Gerrard,36,CM,MID,81,81,77.08,1400000.0,10000.0,520000.0,1920000.0,1.92,100.0,99.94793474488026,100.0,0.9346820395452617,5.38957551077722,LA Galaxy,USA Major League Soccer,England,https://sofifa.com/player/13743/steven-gerrard/170002,mid_market
1,19,FIFA 19,male,214503,L. Delgado,Luis Enrique Delgado Mantilla,37,GK,GK,67,67,65.03999999999999,50000.0,500.0,26000.0,76000.0,0.076,100.0,100.0,100.0,1.271265178169041,6.589767418208467,Atlético Bucaramanga,Colombian Liga Postobón,Colombia,https://sofifa.com/player/214503/luis-delgado/190002,low_perf_low_cost__budget_depth
1,22,FIFA 22,male,177299,A. Gabbarini,Adrián José Gabbarini,35,GK,GK,72,72,70.16,250000.0,500.0,26000.0,276000.0,0.276,100.0,100.0,100.0,1.5398676708581052,8.112258457197036,LDU Quito,Ecuadorian Serie A,Argentina,https://sofifa.com/player/177299/adrian-gabbarini/220002,mid_market
1,18,FIFA 18,male,48717,Júlio César,Júlio César Soares de Espíndola,37,GK,GK,80,80,76.2,1000000.0,9000.0,468000.0,1468000.0,1.468,100.0,99.8588607237622,100.0,1.0965921631069557,6.072528342287654,SL Benfica,Portuguese Liga ZON SAGRES,Brazil,https://sofifa.com/player/48717/julio-cesar-soares-espindola/180002,mid_market
2,22,FIFA 22,male,182959,A. Hruška,Aleš Hruška,35,GK,GK,71,71,69.23,210000.0,500.0,26000.0,236000.0,0.236,99.99479464889906,99.99479464889906,99.99479464889906,1.4978738311437316,7.866390185961862,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/182959/ales-hruska/220002,mid_market
2,21,FIFA 21,male,165493,N. Navarro,Nicolás Gastón Navarro,35,GK,GK,70,70,68.48,180000.0,500.0,26000.0,206000.0,0.206,99.99465440744106,99.99465440744106,99.99465440744106,1.465076016252756,7.7755065607414195,Club Atlético Tigre,Argentina Primera División,Argentina,https://sofifa.com/player/165493/nicolas-navarro/210002,mid_market
2,20,FIFA 20,male,214222,L. Giovini,Lucas Raúl Giovini Schiapino,37,GK,GK,65,65,63.09,50000.0,500.0,26000.0,76000.0,0.076,99.9945154390391,100.0,99.98903087807821,0.8848700407413224,4.426143448292535,Unión La Calera,Chilian Campeonato Nacional,Argentina,https://sofifa.com/player/214222/lucas-giovini/200002,low_perf_low_cost__budget_depth
2,19,FIFA 19,male,155980,D. Bičík,David Bičík,37,GK,GK,66,66,63.959999999999994,45000.0,500.0,26000.0,71000.0,0.071,99.99439587536428,99.99439587536428,99.98879175072854,1.126760581522594,5.782435807862697,AC Sparta Praha,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/155980/david-bicik/190002,low_perf_low_cost__budget_depth
